アイヌ系,あいぬけい
合いの子,あいのこ
青姦,あおかん
アカ,あか
明盲,あきめくら
足切り,あしきり
足を洗う,あしをあらう
当て馬,あてうま
アメ公,あめこう
あらめん,あらめん
アル中,あるちゅう
按摩,あんま
家柄,いえがら
イカサマ,いかさま
躄,いざり
伊勢乞食,いせこじき
イタ公,いたこう
板前,いたまえ
いちゃもん,いちゃもん
田舎,いなか
犬殺し,いぬごろし
移民,いみん
イモ,いも
インチキ,いんちき
インディアン嘘つかない,いんでぃあんうそつかない
淫売,いんばい
裏日本,うらにほん
うんこ,うんこ
運ちゃん,うんちゃん
エスキモー,えすきもー
穢多,えた
越後の米つき,えちごのこめつき
エチゼンクラゲ,えちぜんくらげ
エディター,えでぃたー
ＯＬ,おーえる
オールドミス,おーるどみす
オカマ,おかま
沖仲仕,おきなかし
唖,おし
落人部落,おちうどぶらく
落ちこぼれ,おちこぼれ
落とし前,おとしまえ
溺れ死ぬ,おぼれじぬ
お巡り,おまわり
表日本,おもてにほん
親方,おやかた
おわい屋,おわいや
女子供,おんなこども
女の腐ったような,おんなのくさったような
隠坊,おんぼう
外人,がいじん
蛙の子は蛙,かえるのこはかえる
ガキ,がき
確信犯,かくしんはん
拡張員,かくちょういん
拡張団,かくちょうだん
拡張団長,かくちょうだんちょう
家系,かけい
過去帳,かこちょう
ガサ,がさ
かさっかき,かさっかき
片足,かたあし
片親,かたおや
片手落ち,かたておち
片肺,かたはい
片目,かため
片端,かたわ
がちゃ目,がちゃめ
担ぎ屋,かつぎや
かったい,かったい
がっぷり四つ,がっぷりよつ
カッペ,かっぺ
上方の贅六,かみがたのぜいろく
借り腹,かりばら
皮被り,かわかぶり
皮切り,かわきり
川向こう,かわむこう
河原乞食,かわらこじき
看護婦,かんごふ
姦通,かんつう
キ印,きじるし
キチ,きち
気違い,きちがい
気違い沙汰,きちがいざた
気違いに刃物,きちがいにはもの
ぎっちょ,ぎっちょ
給仕,きゅうじ
灸を据える,きゅうをすえる
狂気,きょうき
狂気の沙汰,きょうきのさた
狂女,きょうじょ
狂人,きょうじん
漁夫,ぎょふ
苦力,くーりー
屑屋,くずや
愚鈍,ぐどん
首切り,くびきり
汲み取り屋,くみとりや
狂う,くるう
クロ,くろ
黒んぼ,くろんぼ
くわえ込む,くわえこむ
クンニ,くんに
群盲象をなでる,ぐんもうぞうをなでる
芸人,げいにん
ゲーセン,げーせん
下女,げじょ
血統,けっとう
毛唐,けとう
下男,げなん
健全なる精神は健全なる身体に宿る,けんぜんなるせいしんはけんぜんなるしんたいにやどる
ゲンナマ,げんなま
強姦,ごうかん
後進国,こうしんこく
興信所,こうしんじょ
業病,ごうびょう
鉱夫,こうふ
工夫,こうふ
坑夫,こうふ
紅毛人,こうもうじん
黒人,こくじん
虚仮,こけ
孤児院,こじいん
乞食,こじき
小僧,こぞう
小使い,こづかい
子供,こども
小人,こびと
ゴミ屋,ごみや
コロシ,ころし
魚屋,さかなや
ザギン,ざぎん
サツ,さつ
サラ金,さらきん
サラブレッド,さらぶれっど
三韓征伐,さんかんせいばつ
三国人,さんごくじん
三助,さんすけ
産婆,さんば
色盲,しきもう
支那,しな
支那人,しなじん
支那蕎麦,しなそば
支那竹,しなちく
支那料理,しなりょうり
士農工商,しのうこうしょう
ジプシー,じぷしー
自閉症児,じへいしょうじ
シマ,しま
地回り,じまわり
ジャップ,じゃっぷ
ジャリ,じゃり
ジュー,じゅー
獣医,じゅうい
周旋屋,しゅうせんや
酋長,しゅうちょう
嬢,じょう
障害者,しょうがいしゃ
将棋倒しになる,しょうぎだおしになる
情夫,じょうふ
情婦,じょうふ
女給,じょきゅう
植物人間,しょくぶつにんげん
女傑,じょけつ
女工,じょこう
助産婦,じょさんぷ
処女作,しょじょさく
処女峰,しょじょほう
女中,じょちゅう
職工,しょっこう
しらっこ,しらっこ
尻拭い,しりぬぐい
心障児,しんしょうじ
心障者,しんしょうしゃ
新平民,しんへいみん
